hour,day_of_week,hour_sin,hour_cos,day_sin,day_cos,viewport_width,viewport_height,viewport_aspect_ratio,viewport_area_normalized,touch_enabled,device_pixel_ratio,prefers_dark_mode,avg_session_duration,total_clicks_last_week,scroll_depth_avg,error_rate_last_week,preferred_text_size,interaction_speed,user_group_density,locale_preference,accessibility_needs,network_speed,css_classes,--font-size-base,--spacing-factor,--color-primary-hue,--border-radius,--line-height
17,2,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1366,768,1.7786458333333333,0.5059259259259259,False,1.0,False,43.54466931379014,52,0.7640570553727553,0.01493754469297589,0.8194886767636955,1.235521790895639,high,en,False,fast,"['densidad-media', 'fuente-mono', 'modo-claro']",0.9501294247333302,0.9163056121613595,262.5338430192173,0.1756317232735572,1.3116499771408492
12,4,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,393,851,0.4618096357226792,0.1612861689814815,True,3.0,False,99.7488574591417,50,0.42759358190956925,0.02630683205021339,1.086636203646723,0.11485300109200128,low,en,False,fast,"['densidad-alta', 'fuente-sans', 'modo-claro']",1.15910043243837,0.9006990725503741,148.9646700530184,0.34181703616749415,1.6589228692572975
15,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1920,1080,1.7777777777777777,1.0,False,1.5,True,17.068872956851642,53,0.42979697344273804,0.015827135238537314,1.250848872141891,1.5014917746734102,medium,en,False,medium,"['densidad-baja', 'fuente-mono', 'modo-nocturno']",0.9502198346798104,1.2100896182379155,199.78282793533734,0.04877393179142414,1.4556430571186667
15,3,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,414,896,0.46205357142857145,0.17888888888888888,True,1.5,False,85.00179269573835,49,0.3916687982357343,0.003381395300647361,0.8740510115419061,1.0735496021426736,low,en,True,fast,"['densidad-alta', 'fuente-sans', 'modo-claro']",1.3161718838902443,0.8187362936511756,233.3190913411399,0.24874817317785436,1.4475498410348557
2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1024,768,1.3333333333333333,0.37925925925925924,False,1.0,False,72.50468159202059,50,0.42576292266072335,0.0040832635837018145,0.917373377228945,1.0800439040645025,medium,es,False,fast,"['densidad-media', 'fuente-serif', 'modo-nocturno']",0.9949833425767213,0.8572869456509817,355.54991350456726,0.31587888088667593,1.26269281282214
1,5,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,375,667,0.5622188905547226,0.12062355324074074,True,1.5,False,278.7058137827899,58,0.5712753017521894,0.009072417909589093,0.659694292713806,0.6487133637243329,medium,de,False,slow,"['densidad-alta', 'fuente-serif', 'modo-nocturno']",1.2068259400943924,0.9666646097221727,341.6920918229745,0.34386396483441534,1.7488893952425677
20,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,414,896,0.46205357142857145,0.17888888888888888,True,1.0,True,114.53608756812643,60,0.5528099750327892,0.010436484650895719,0.8841624085547817,0.7385818769012369,high,es,False,medium,"['densidad-alta', 'fuente-serif', 'modo-nocturno']",1.1483219400954963,0.6961528412214772,294.175229654597,0.20064217710587307,1.5791228706614775
21,4,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,1920,1080,1.7777777777777777,1.0,False,2.0,False,17.42716223933197,48,0.5895680932035993,0.0065500850643037565,0.9088749678961476,0.5659265347985811,high,es,False,fast,"['densidad-baja', 'fuente-serif', 'modo-nocturno']",1.0460905220152283,1.2330223763183594,310.4145331679033,0.1660842780075179,1.2763063180255065
9,3,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,390,844,0.46208530805687204,0.15873842592592594,True,1.5,False,242.59354121579648,46,0.6616763684813444,0.027501137488112157,1.2486818081933868,0.7058084860832325,medium,es,False,medium,"['densidad-alta', 'fuente-sans', 'modo-claro']",1.0571479950775888,0.8339912317222202,162.32259128241716,0.41386908390239446,1.507806414054569
16,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1920,1080,1.7777777777777777,1.0,False,1.5,False,55.21110267469534,35,0.7449867037310635,0.00966975581036837,0.7604092794379609,1.7238682883079723,high,es,True,slow,"['densidad-baja', 'fuente-mono', 'modo-claro']",1.260686425696003,0.9922641249331517,217.84931758225454,0.18337567862623655,1.300819488790689
